IP,Ports,JA4X,Subject.common_name,SeenFirst,SeenLast
185.187.51.217,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:10,4/13/2024 15:10
5.255.104.232,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,12/16/2022 12:46,4/25/2024 0:41
13.213.38.186,8000,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/24/2024 10:41,4/24/2024 10:41
65.108.49.215,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/21/2022 13:32,4/21/2024 1:05
193.149.180.96,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/14/2024 2:54,4/14/2024 2:54
149.202.40.16,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,12/6/2023 2:42,4/22/2024 1:08
65.108.145.222,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/8/2022 13:00,4/21/2024 0:51
51.38.225.147,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/12/2023 0:50,4/22/2024 1:03
87.107.162.51,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 14:56,4/13/2024 14:56
51.75.37.249,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/22/2024 0:49,4/23/2024 0:43
149.248.78.4,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/21/2024 2:06,4/21/2024 2:06
193.149.189.43,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/20/2024 2:53,4/20/2024 2:53
101.201.148.184,7443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,9/13/2022 11:33,4/21/2024 11:57
92.114.17.97,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 1:12,4/15/2024 1:12
206.166.251.87,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/16/2024 2:49,4/16/2024 2:49
180.178.42.44,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/20/2022 13:30,4/22/2024 1:07
49.77.174.37,8088,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/14/2024 11:07,4/14/2024 11:07
193.149.187.36,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/22/2024 2:13,4/22/2024 2:13
193.149.189.192,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/22/2024 2:09,4/22/2024 2:09
109.201.134.237,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/15/2023 2:53,4/21/2024 1:04
89.46.223.205,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2023 0:52,4/25/2024 0:41
45.61.139.81,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/12/2024 2:56,4/12/2024 2:56
103.246.218.50,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/26/2023 13:11,4/23/2024 0:52
51.75.36.43,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/23/2024 0:53,4/14/2024 1:25
92.114.17.66,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 14:49,4/13/2024 14:49
148.66.1.66,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/17/2022 13:17,4/22/2024 1:07
62.60.211.187,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/13/2024 14:47,4/13/2024 14:44
185.107.69.24,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/4/2023 2:12,4/20/2024 1:01
128.140.37.79,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/8/2023 13:17,4/22/2024 1:11
111.231.120.206,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/25/2022 22:25,4/14/2024 15:53
185.107.69.17,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/20/2023 13:41,4/24/2024 0:45
162.19.153.211,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/13/2024 15:01,4/13/2024 15:01
87.236.214.5,3306,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 18:41,4/13/2024 18:41
62.234.211.131,9443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,12/26/2022 18:30,4/17/2024 2:49
119.3.207.221,30010,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/4/2023 19:07,4/25/2024 4:35
51.75.36.43,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/22/2024 0:51,4/22/2024 1:06
51.38.128.196,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/16/2023 13:28,4/23/2024 0:41
45.138.135.161,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/13/2024 13:39,4/13/2024 14:46
154.221.0.247,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/1/2024 1:51,4/24/2024 0:54
185.49.231.95,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:06,4/13/2024 15:06
51.38.49.63,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/19/2023 0:53,4/23/2024 0:48
113.108.123.46,10443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/1/2023 14:07,4/16/2024 17:10
193.149.180.229,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/21/2024 2:12,4/21/2024 2:12
206.71.148.43,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/20/2024 2:29,4/20/2024 2:29
45.61.138.44,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/19/2024 1:47,4/19/2024 1:47
